Object Tracking Data File Wed, Mar 13, 2024 3:48 PM
X (pixels)  	Y (pixels)  
550.39	93.86
541.75	95.12
534.61	91.68
537.53	86.34
538.49	86.12
540.84	86.25
540.71	90.38
539.51	88.14
535.50	91.59
537.92	95.56
536.41	94.82
541.56	98.01
539.57	98.31
537.82	101.21
538.88	95.54
538.04	97.37
538.07	102.32
539.83	100.11
534.12	104.52
536.13	104.41
542.62	110.01
541.77	112.17
539.96	113.84
541.23	110.39
546.64	120.65
539.22	127.89
537.37	134.24
532.13	133.51
532.38	131.81
535.86	133.36
531.08	129.45
527.98	124.21
531.48	127.34
529.87	125.84
529.64	128.83
527.50	129.51
524.77	129.96
527.45	127.19
533.90	129.79
534.59	127.15
539.09	130.86
540.70	132.26
538.30	127.94
539.34	126.16
541.36	132.67
540.56	134.17
535.70	138.64
536.88	136.83
533.26	140.36
530.43	138.61
531.42	140.48
529.03	137.15
526.46	135.51
522.61	136.83
519.40	138.45
522.94	138.67
519.83	137.22
512.04	141.11
507.22	137.34
510.44	133.96
511.21	141.98
509.77	137.42
511.27	135.02
514.23	136.83
511.45	132.49
506.28	126.44
501.85	125.60
499.75	128.39
502.05	134.10
494.82	138.69
494.06	137.69
502.29	139.38
500.96	140.23
502.72	143.42
509.87	143.76
513.34	144.24
511.33	149.04
512.82	148.42
517.67	147.14
511.00	146.07
508.14	144.22
504.84	152.94
508.24	152.94
500.29	149.57
502.18	147.29
502.05	145.33
499.70	146.26
495.91	146.64
498.60	146.93
497.98	142.81
495.91	141.48
495.22	142.48
498.51	144.93
506.26	152.51
507.45	152.82
503.88	152.56
498.02	156.56
491.30	153.78
492.36	152.03
489.67	154.90
491.84	161.35
494.67	165.04
491.25	166.85
489.11	164.01
490.83	168.65
486.32	169.53
482.05	169.56
480.74	172.66
480.77	173.21
482.83	177.86
479.98	178.08
482.30	178.45
477.66	180.25
478.57	180.99
478.55	183.39
476.29	183.00
476.34	185.11
474.74	186.78
466.34	189.40
467.45	187.52
