Object Tracking Data File Wed, Mar 13, 2024 3:29 PM
X (pixels)  	Y (pixels)  
1159.17	356.46
1156.66	361.19
1160.47	366.63
1156.32	368.07
1160.76	373.56
1159.83	369.70
1157.79	368.63
1151.03	365.62
1154.65	364.51
1150.48	363.08
1150.30	360.54
1142.20	358.09
1137.35	366.83
1140.77	368.66
1148.94	370.25
1156.00	377.37
1152.73	381.79
1148.52	386.30
1141.54	383.53
1139.39	380.65
1132.23	390.40
1127.92	389.63
1132.95	395.95
1131.92	397.12
1131.00	397.07
1123.33	392.31
1120.06	391.14
1119.97	392.50
1114.13	385.82
1115.65	389.37
1121.30	390.60
1118.59	382.69
1116.41	386.46
1120.26	394.20
1115.40	396.57
1114.56	396.17
1109.14	394.71
1112.61	399.92
1105.76	407.01
1106.88	411.28
1106.55	416.43
1106.63	418.76
1106.43	416.90
1099.41	418.45
1094.74	421.77
1090.92	422.27
1094.88	423.33
1093.73	423.54
1090.82	419.64
1090.71	424.40
1088.77	421.55
1087.29	418.26
1086.13	419.78
1089.06	423.41
1093.45	425.86
1084.74	428.58
1084.60	433.03
1088.98	435.90
1095.13	442.52
1097.19	440.14
1089.23	444.81
1087.98	442.72
1088.95	440.62
1086.78	440.88
1081.01	445.30
1081.43	445.48
1080.25	439.75
1082.49	445.02
1071.94	450.12
1068.17	454.36
1066.20	458.02
1064.46	460.17
1063.49	468.92
1062.96	464.33
1059.77	459.53
1059.37	463.33
1062.40	461.61
1061.29	459.13
1063.25	457.26
1065.41	454.13
1059.44	452.36
1055.26	447.71
1058.93	449.01
1052.10	456.47
1044.59	455.18
1049.63	459.84
1047.58	457.81
1047.52	454.88
1059.60	457.35
1057.31	453.23
1049.55	453.27
1046.61	455.52
1041.63	464.49
1042.92	467.42
1046.20	469.17
1044.62	466.56
1044.96	471.59
1042.53	482.13
1038.18	490.16
1037.12	491.07
1033.99	491.26
1032.15	496.23
1034.86	500.48
1041.33	498.37
1035.49	491.24
1037.30	494.93
1034.87	499.71
1034.64	507.97
1034.36	513.44
1033.24	512.49
1040.35	524.98
1038.08	524.37
1037.21	521.48
1042.00	518.53
1041.48	515.64
1044.10	522.34
1042.01	525.37
1038.88	526.36
1036.66	529.37
1034.67	533.47
