Object Tracking Data File Wed, Mar 13, 2024 3:24 PM
X (pixels)  	Y (pixels)  
730.38	256.53
723.47	261.02
716.88	266.20
721.36	268.19
717.68	264.39
721.53	270.36
721.47	269.59
728.44	275.09
730.68	279.64
731.06	279.31
731.97	278.08
732.79	280.82
732.58	287.00
732.82	284.37
728.90	282.59
730.95	288.59
730.01	289.39
728.17	292.34
729.22	289.89
730.35	294.58
729.94	301.06
726.28	301.20
730.75	308.77
724.28	308.43
732.42	310.85
731.05	310.85
726.13	312.89
726.76	319.84
727.37	324.43
732.11	322.99
728.87	330.77
729.07	330.30
726.90	327.38
730.36	324.34
727.53	327.02
731.61	329.03
732.22	337.31
736.04	337.21
735.43	335.60
734.87	337.61
737.74	339.36
736.28	345.69
734.02	344.77
733.13	345.05
730.50	347.55
732.22	346.67
733.15	350.62
727.57	354.92
735.55	356.51
735.05	358.56
730.80	369.10
734.23	373.08
737.62	375.26
744.68	374.38
744.03	374.21
737.62	375.31
731.79	379.82
728.99	379.97
726.71	383.83
724.72	387.11
725.64	390.05
729.59	391.82
734.29	392.01
729.77	393.53
737.76	390.62
734.70	389.88
737.14	399.91
732.49	403.95
728.01	407.63
732.71	409.58
731.91	418.18
730.34	424.80
726.18	429.19
724.18	436.33
723.21	442.21
724.59	447.11
721.21	447.07
718.73	446.47
715.12	454.33
718.29	460.93
717.85	459.43
716.51	462.19
719.08	457.98
722.91	455.56
727.50	461.33
727.54	458.05
722.50	453.46
719.84	456.53
719.42	461.24
725.21	465.75
731.87	462.19
732.57	462.40
731.91	465.79
729.50	468.34
731.97	472.29
734.15	474.41
732.38	477.27
733.13	480.80
728.78	483.45
728.46	489.77
724.90	490.28
719.03	489.54
721.30	495.35
718.03	496.56
710.12	502.37
704.70	514.61
702.59	524.68
703.23	512.94
703.04	512.42
701.48	517.30
708.18	519.22
710.09	520.95
710.90	522.21
709.02	530.56
707.69	533.57
707.52	534.28
709.84	537.31
711.21	534.50
710.36	537.52
711.04	540.69
