Object Tracking Data File Wed, Mar 13, 2024 3:36 PM
X (pixels)  	Y (pixels)  
325.23	393.49
322.57	392.63
320.55	395.00
322.71	391.77
321.97	394.33
316.63	396.06
317.57	393.72
315.08	390.96
309.94	390.26
310.46	385.67
306.75	379.02
302.45	380.61
302.39	379.16
293.61	373.30
292.30	381.09
288.17	382.64
287.88	381.53
289.29	379.90
285.81	380.64
285.74	386.77
284.21	390.91
282.52	387.81
286.88	385.86
288.73	389.94
294.28	383.99
300.46	382.76
297.72	379.17
297.84	378.17
297.99	377.90
298.34	374.35
292.44	375.98
288.70	373.65
292.18	381.35
293.07	378.31
289.08	384.97
285.88	387.25
282.45	385.92
276.45	391.51
278.90	395.24
277.20	392.42
272.66	393.63
270.06	394.49
267.51	398.05
261.76	400.74
259.51	401.46
260.56	399.70
254.10	398.85
259.50	401.44
254.75	405.00
259.29	403.16
261.61	409.76
254.74	410.70
257.62	409.23
256.06	414.88
262.89	422.19
266.56	427.29
269.02	428.60
267.10	419.48
266.91	417.78
264.80	419.63
270.37	415.96
262.83	422.33
256.81	420.13
252.85	429.60
256.69	428.99
253.26	428.44
256.49	428.51
256.76	422.95
255.23	423.48
254.98	424.04
252.32	427.73
248.46	425.64
246.94	421.15
235.82	419.00
228.11	419.94
231.27	418.88
232.01	420.55
230.69	420.66
224.59	420.75
223.47	421.72
216.60	424.16
213.34	427.17
216.00	427.80
214.31	424.09
214.71	423.15
211.96	427.17
210.69	423.64
217.38	423.54
218.98	422.28
214.12	425.48
214.51	424.63
212.54	427.79
213.82	425.65
214.36	430.54
215.85	429.43
218.71	431.18
215.33	429.56
216.77	434.01
214.56	438.41
209.18	442.84
207.52	447.32
206.50	452.23
204.31	458.17
206.24	460.13
192.82	459.00
187.72	460.84
187.10	464.27
189.17	463.10
186.20	466.45
187.44	463.56
184.49	461.36
177.16	460.87
179.67	464.38
181.21	466.20
175.65	465.26
166.93	464.47
169.12	462.68
172.23	456.16
171.31	454.43
164.81	458.84
