Object Tracking Data File Wed, Mar 13, 2024 3:36 PM
X (pixels)  	Y (pixels)  
746.87	211.22
735.96	212.58
738.03	207.41
732.56	207.06
725.83	202.68
715.26	208.30
709.20	200.49
706.74	200.71
702.09	202.52
702.79	203.12
697.79	202.89
693.55	205.82
685.60	203.77
683.82	203.23
684.95	203.69
684.84	205.92
683.09	200.95
685.65	201.52
686.34	199.38
676.09	199.51
666.95	189.71
663.01	183.88
655.48	183.33
651.84	180.24
655.22	181.91
649.97	173.49
647.84	172.45
641.61	172.15
642.59	171.39
635.71	180.46
627.13	183.84
627.64	186.67
625.82	188.49
624.66	179.77
634.11	183.32
632.49	182.15
634.76	191.61
631.35	193.11
625.99	194.99
629.67	187.45
627.87	180.46
624.47	174.87
619.57	175.19
620.29	175.26
617.58	175.59
618.03	176.79
616.25	181.66
615.24	185.91
617.45	187.57
614.15	192.11
613.73	188.61
612.74	193.34
617.18	190.60
615.56	194.85
615.18	201.66
616.63	202.93
621.18	203.46
613.48	207.10
616.23	210.36
614.18	209.51
612.64	209.66
615.56	214.13
614.96	216.67
615.58	218.66
611.95	220.37
608.28	224.94
603.39	220.37
598.13	222.84
594.54	226.24
590.01	229.35
586.30	231.74
587.31	232.59
586.15	228.92
580.97	231.44
571.69	235.39
566.19	233.60
563.73	233.81
556.60	235.16
551.60	231.07
550.95	239.88
545.94	242.63
554.84	233.29
549.75	236.93
548.17	243.30
545.71	243.30
540.95	249.35
537.75	249.13
535.05	255.47
530.07	254.49
532.26	255.57
527.13	260.64
516.91	257.72
511.83	257.81
502.02	253.51
501.94	248.11
508.03	253.89
506.59	257.36
496.31	253.47
490.42	255.89
485.47	258.75
486.38	262.46
489.33	267.36
490.01	271.21
491.24	266.55
492.00	278.42
488.66	279.07
481.25	278.68
481.47	280.32
478.98	281.66
476.89	282.42
476.63	274.46
475.76	281.83
473.20	277.71
470.33	277.98
461.12	284.42
456.81	283.97
456.45	278.79
459.14	282.00
451.57	281.27
451.86	281.53
