Object Tracking Data File Wed, Mar 13, 2024 3:56 PM
X (pixels)  	Y (pixels)  
427.58	546.66
428.81	556.65
434.21	558.80
432.31	554.99
433.75	552.59
432.48	548.32
431.42	548.66
427.02	549.96
431.32	549.31
427.26	550.59
427.99	552.46
424.42	556.78
421.87	551.96
417.96	551.90
415.31	547.49
417.49	550.52
416.71	552.15
417.09	555.11
416.38	556.87
414.98	561.91
418.14	562.62
418.01	563.88
413.21	558.50
407.89	560.09
402.80	563.08
400.74	562.10
392.15	561.73
386.96	559.71
387.70	553.08
390.82	552.02
387.16	551.42
387.49	550.20
387.85	556.09
382.45	558.15
375.74	561.27
381.27	565.00
386.11	564.10
391.91	566.05
395.09	568.11
393.58	566.88
389.15	568.40
395.29	564.86
393.44	558.56
395.70	557.31
393.91	557.76
392.23	561.46
395.19	561.48
398.88	565.40
400.36	575.73
400.81	578.22
399.58	575.51
401.43	571.62
396.59	570.99
397.69	578.93
404.21	579.96
403.72	586.49
403.87	587.50
403.20	586.96
407.25	596.95
403.61	598.56
403.34	594.83
401.73	596.97
398.66	598.55
400.39	600.64
406.42	602.47
409.10	602.86
410.61	605.18
410.44	607.31
410.56	612.89
409.75	620.57
408.87	618.85
402.24	612.18
407.52	612.11
406.93	615.99
407.14	617.07
404.07	615.28
396.93	616.99
402.30	622.76
410.56	625.39
408.63	628.59
409.74	623.41
409.76	621.15
414.04	620.22
417.39	628.71
416.23	631.40
415.57	634.18
418.29	638.40
419.15	641.00
420.21	643.37
414.92	645.94
412.16	643.48
409.05	641.48
406.83	645.64
398.94	644.62
393.69	648.44
393.44	654.13
395.60	654.27
391.19	654.56
382.63	655.63
376.15	654.21
366.03	654.81
362.96	653.70
362.21	656.66
357.81	655.79
356.76	654.77
355.07	654.69
352.17	651.65
358.56	654.43
362.19	660.99
365.12	667.10
367.31	665.53
364.86	668.56
361.05	666.49
350.97	664.89
346.96	662.52
351.16	658.52
360.42	663.85
364.39	665.71
369.87	672.03
370.08	679.67
