Object Tracking Data File Wed, Mar 13, 2024 3:56 PM
X (pixels)  	Y (pixels)  
801.32	423.20
796.16	427.45
793.83	423.44
789.42	423.69
797.53	423.59
791.60	430.28
785.08	425.16
785.21	418.51
781.47	417.97
782.30	422.48
782.91	425.55
783.84	427.04
783.38	432.99
788.99	430.25
797.32	440.17
800.87	445.03
806.27	450.81
815.02	455.44
818.14	458.23
814.96	458.89
814.88	463.41
815.64	455.98
813.45	455.23
808.53	458.02
808.48	454.59
801.24	463.99
802.70	463.12
801.95	458.46
809.21	462.63
819.49	465.61
821.05	466.86
828.63	464.77
831.06	465.66
828.15	470.57
827.36	465.19
831.80	468.03
841.07	470.23
840.93	480.39
836.56	480.16
832.39	484.49
823.94	480.42
819.01	483.26
815.32	476.75
806.43	474.49
809.08	477.23
807.16	473.65
808.95	476.06
806.40	475.41
799.97	471.80
797.00	473.47
798.74	472.95
799.61	470.74
800.36	475.93
799.68	471.18
790.83	468.03
788.07	462.35
781.12	459.96
781.79	464.06
773.19	462.76
763.26	461.66
757.83	454.36
748.91	455.83
744.37	460.66
743.41	459.19
758.35	466.85
772.09	473.86
774.28	481.78
780.27	495.70
788.33	499.02
789.37	505.03
786.21	501.15
780.74	506.00
780.07	504.47
772.53	500.83
768.95	500.53
782.79	507.71
787.56	516.28
793.11	524.63
789.16	525.37
797.08	521.77
789.76	521.09
783.13	517.58
780.40	518.06
783.09	520.53
777.27	520.76
767.50	524.28
761.10	522.98
761.08	526.56
757.66	527.53
751.60	522.21
744.94	518.05
737.49	512.92
733.69	507.44
721.53	509.56
711.92	508.86
707.24	517.80
700.34	518.39
692.73	515.17
690.70	524.69
692.06	529.03
684.20	528.21
683.38	537.38
702.30	566.09
702.80	585.71
698.11	593.45
698.34	609.15
705.36	606.35
706.41	613.71
705.54	616.00
701.43	617.90
700.88	618.51
694.99	619.83
704.80	625.70
710.25	637.15
712.11	642.04
710.59	642.64
707.28	643.81
708.13	646.68
710.36	648.80
720.33	648.35
