Object Tracking Data File Wed, Mar 13, 2024 3:46 PM
X (pixels)  	Y (pixels)  
778.14	187.12
777.69	192.79
776.12	195.17
775.86	199.02
774.21	199.22
776.36	209.18
773.35	212.85
768.58	220.46
762.90	225.47
760.07	226.38
759.73	228.22
757.83	227.19
750.11	226.56
750.43	222.01
750.18	225.67
747.79	224.44
746.95	225.62
749.77	229.40
748.42	233.23
737.48	237.41
744.31	238.07
742.05	239.47
734.76	234.59
731.27	233.60
738.63	242.04
737.87	247.75
741.49	245.99
737.49	239.35
729.01	242.10
728.64	244.34
727.52	242.92
725.82	246.84
726.09	243.55
725.82	242.28
718.80	240.13
718.47	243.78
716.57	245.91
710.45	250.64
706.30	250.65
705.81	254.94
701.69	254.79
698.37	255.58
700.46	253.83
700.44	252.13
703.38	251.18
701.72	244.48
704.56	249.73
707.65	251.45
712.03	256.43
704.88	255.70
693.14	262.10
687.57	260.33
675.18	264.95
668.53	272.90
655.74	271.85
641.27	271.58
635.83	263.82
635.79	265.97
634.49	263.09
628.64	262.02
626.07	258.09
621.88	256.14
623.92	258.48
614.05	264.73
607.67	259.15
598.14	254.27
591.05	254.83
588.45	253.81
575.97	259.20
566.58	255.69
559.39	259.86
556.54	255.53
549.05	255.52
543.84	248.07
540.70	245.77
531.38	247.66
529.84	252.25
524.42	246.12
515.91	235.20
511.65	234.38
508.68	234.34
513.50	233.92
509.23	236.98
501.17	237.71
494.31	239.02
490.05	238.02
474.72	240.37
468.02	239.31
461.34	246.05
459.33	246.09
464.87	245.31
458.59	236.46
454.59	238.34
450.88	242.50
453.65	240.53
448.70	238.00
441.54	240.11
433.55	235.09
429.80	232.73
422.12	228.69
417.92	224.05
408.92	217.24
400.67	217.73
398.56	223.27
386.90	222.97
374.60	224.70
381.37	222.75
377.35	218.52
368.92	208.93
360.19	202.62
354.23	200.86
339.20	203.45
334.99	193.40
335.63	195.56
335.20	185.88
326.76	185.31
313.06	175.15
306.45	173.75
303.49	177.54
290.73	179.80
