Object Tracking Data File Wed, Mar 13, 2024 3:29 PM
X (pixels)  	Y (pixels)  
597.70	522.20
598.46	525.93
600.69	533.65
594.30	537.48
600.64	540.30
595.98	535.36
595.96	538.17
587.53	538.32
588.99	536.31
592.89	538.99
593.19	537.86
579.61	532.89
582.56	534.88
584.71	533.98
581.83	532.60
584.53	536.68
581.10	536.24
584.81	536.67
590.61	539.25
592.25	543.01
585.21	547.20
577.22	550.32
574.51	548.71
568.40	541.83
564.69	544.20
561.73	542.15
565.42	539.99
562.22	542.81
560.91	547.59
556.18	548.93
558.44	556.96
560.84	554.88
556.89	558.16
549.64	563.86
551.55	565.31
544.54	566.52
540.93	576.09
538.53	579.10
540.24	583.89
545.42	584.81
546.57	594.03
543.44	600.78
547.65	602.53
547.45	599.90
549.64	605.15
551.18	607.75
557.30	604.41
554.75	608.60
555.08	611.93
557.75	605.71
565.83	608.75
568.45	609.59
570.80	608.63
570.31	607.55
568.89	606.14
562.70	607.54
561.31	609.97
566.93	612.62
569.98	613.77
565.43	619.07
571.56	624.74
569.43	622.58
572.14	623.06
577.30	628.20
578.12	632.72
582.01	639.84
577.86	641.23
571.82	644.77
572.85	647.85
568.41	647.98
568.09	650.54
573.04	651.63
572.58	653.30
577.82	650.18
579.37	651.45
579.40	647.81
579.53	650.15
580.59	650.88
580.58	657.21
581.31	659.75
578.61	652.29
578.71	651.65
583.12	651.97
581.36	650.27
579.00	655.97
576.72	659.80
577.64	660.12
577.81	659.62
578.96	662.12
576.43	668.93
577.56	674.25
581.49	678.80
582.18	688.29
580.48	696.03
582.35	698.17
578.27	703.09
574.32	703.20
572.81	705.73
565.96	709.05
564.42	710.64
565.65	714.72
570.44	713.01
570.42	716.55
570.73	717.00
565.98	719.24
563.62	721.18
559.92	721.08
562.59	720.17
558.37	719.79
561.84	718.08
558.30	721.25
554.15	716.07
551.14	724.71
548.94	730.73
553.87	738.52
556.62	735.80
557.60	733.36
553.03	733.18
549.76	741.33
552.69	738.11
